apk,lang,source,version,extension_class_refs,i18n_files,detected_multisrc
tachiyomi-ru.unicomics-v1.4.7.apk,ru,unicomics,1.4.7,14,,
tachiyomi-ru.usagi-v1.4.37.apk,ru,usagi,1.4.37,8,,
tachiyomi-ru.yagamiproject-v1.4.5.apk,ru,yagamiproject,1.4.5,9,,
tachiyomi-ru.yaoichan-v1.4.9.apk,ru,yaoichan,1.4.9,8,,
tachiyomi-ru.yaoilib-v1.4.42.apk,ru,yaoilib,1.4.42,8,,
tachiyomi-th.cat300-v1.4.48.apk,th,cat300,1.4.48,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.catzaa-v1.4.45.apk,th,catzaa,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.doodmanga-v1.4.45.apk,th,doodmanga,1.4.45,7,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.doujinlc-v1.4.45.apk,th,doujinlc,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.doujinza-v1.4.45.apk,th,doujinza,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.ecchidoujin-v1.4.30.apk,th,ecchidoujin,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.goddoujin-v1.4.30.apk,th,goddoujin,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.lamimanga-v1.4.31.apk,th,lamimanga,1.4.31,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.makimaaaaa-v1.4.30.apk,th,makimaaaaa,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.manga168-v1.4.32.apk,th,manga168,1.4.32,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.mangaisekaithai-v1.4.45.apk,th,mangaisekaithai,1.4.45,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.mangakimi-v1.4.32.apk,th,mangakimi,1.4.32,8,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.mangalc-v1.4.45.apk,th,mangalc,1.4.45,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.mangastep-v1.4.30.apk,th,mangastep,1.4.30,4,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties,mangathemesia
tachiyomi-th.manhuabug-v1.4.45.apk,th,manhuabug,1.4.45,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.manhuakey-v1.4.45.apk,th,manhuakey,1.4.45,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
tachiyomi-th.manhuathai-v1.4.45.apk,th,manhuathai,1.4.45,10,assets/i18n/messages_en.properties;assets/i18n/messages_es.properties;assets/i18n/messages_pt_br.properties,madara
